PINN Sim | Step: 19200 | Ep: 948 | Reward: 1.2993 | Mass: 2000.3
PINN Sim | Step: 19300 | Ep: 952 | Reward: -7.1039 | Mass: 1983.4
PINN Sim | Step: 19400 | Ep: 957 | Reward: 0.8884 | Mass: 1992.9
PINN Sim | Step: 19500 | Ep: 960 | Reward: -4.0337 | Mass: 1971.9
PINN Sim | Step: 19600 | Ep: 964 | Reward: -1.0355 | Mass: 1997.7
PINN Sim | Step: 19700 | Ep: 968 | Reward: -2.5366 | Mass: 1991.2
PINN Sim | Step: 19800 | Ep: 972 | Reward: -4.3653 | Mass: 1996.4
PINN Sim | Step: 19900 | Ep: 976 | Reward: -5.2426 | Mass: 1997.2
PINN Sim | Step: 20000 | Ep: 979 | Reward: -11.8847 | Mass: 1973.7
PINN Sim | Step: 20100 | Ep: 982 | Reward: -7.5308 | Mass: 1961.3
PINN Sim | Step: 20200 | Ep: 986 | Reward: -3.7246 | Mass: 1996.9
PINN Sim | Step: 20300 | Ep: 989 | Reward: -0.2352 | Mass: 1999.2
PINN Sim | Step: 20400 | Ep: 992 | Reward: -0.8875 | Mass: 1999.5
PINN Sim | Step: 20500 | Ep: 997 | Reward: 3.0108 | Mass: 2000.3
PINN Sim | Step: 20600 | Ep: 1001 | Reward: -4.0110 | Mass: 1970.0
PINN Sim | Step: 20700 | Ep: 1005 | Reward: -0.1682 | Mass: 1995.0
PINN Sim | Step: 20800 | Ep: 1008 | Reward: -7.0097 | Mass: 1958.6
PINN Sim | Step: 20900 | Ep: 1012 | Reward: -5.4377 | Mass: 1981.8
PINN Sim | Step: 21000 | Ep: 1016 | Reward: -8.8112 | Mass: 1986.4
PINN Sim | Step: 21100 | Ep: 1020 | Reward: -6.5683 | Mass: 1978.0
PINN Sim | Step: 21200 | Ep: 1024 | Reward: 0.5041 | Mass: 1997.7
PINN Sim | Step: 21300 | Ep: 1028 | Reward: 1.2117 | Mass: 2000.4
PINN Sim | Step: 21400 | Ep: 1031 | Reward: -4.3673 | Mass: 1979.5
PINN Sim | Step: 21500 | Ep: 1034 | Reward: -5.3458 | Mass: 1960.0
PINN Sim | Step: 21600 | Ep: 1038 | Reward: 2.2664 | Mass: 2000.2
PINN Sim | Step: 21700 | Ep: 1042 | Reward: -3.7531 | Mass: 1992.9
PINN Sim | Step: 21800 | Ep: 1045 | Reward: -6.5253 | Mass: 1990.8
PINN Sim | Step: 21900 | Ep: 1048 | Reward: -2.6564 | Mass: 1997.5
PINN Sim | Step: 22000 | Ep: 1051 | Reward: -9.2676 | Mass: 1962.9
PINN Sim | Step: 22100 | Ep: 1056 | Reward: -8.7064 | Mass: 1976.3
PINN Sim | Step: 22200 | Ep: 1061 | Reward: -1.1878 | Mass: 1999.3
PINN Sim | Step: 22300 | Ep: 1065 | Reward: 1.7789 | Mass: 1999.7
PINN Sim | Step: 22400 | Ep: 1067 | Reward: -8.0844 | Mass: 1980.9
PINN Sim | Step: 22500 | Ep: 1071 | Reward: -10.8691 | Mass: 1979.2
PINN Sim | Step: 22600 | Ep: 1076 | Reward: -2.7874 | Mass: 1996.3
PINN Sim | Step: 22700 | Ep: 1079 | Reward: -10.5360 | Mass: 1949.0
PINN Sim | Step: 22800 | Ep: 1084 | Reward: -1.3551 | Mass: 1999.0
PINN Sim | Step: 22900 | Ep: 1087 | Reward: -7.5870 | Mass: 1980.1
PINN Sim | Step: 23000 | Ep: 1092 | Reward: 3.1905 | Mass: 2000.0
PINN Sim | Step: 23100 | Ep: 1095 | Reward: -2.8010 | Mass: 1987.3
PINN Sim | Step: 23200 | Ep: 1099 | Reward: -2.8282 | Mass: 1995.6
PINN Sim | Step: 23300 | Ep: 1102 | Reward: -0.6180 | Mass: 1996.3
PINN Sim | Step: 23400 | Ep: 1105 | Reward: -5.2202 | Mass: 1993.4
PINN Sim | Step: 23500 | Ep: 1108 | Reward: -4.8047 | Mass: 1927.1
PINN Sim | Step: 23600 | Ep: 1111 | Reward: -6.4553 | Mass: 1947.8
PINN Sim | Step: 23700 | Ep: 1115 | Reward: -3.1875 | Mass: 1986.6
PINN Sim | Step: 23800 | Ep: 1118 | Reward: -6.9550 | Mass: 1950.0
PINN Sim | Step: 23900 | Ep: 1122 | Reward: -6.5856 | Mass: 1993.2
PINN Sim | Step: 24000 | Ep: 1125 | Reward: -3.1684 | Mass: 1995.4
PINN Sim | Step: 24100 | Ep: 1127 | Reward: -7.1471 | Mass: 1929.0
PINN Sim | Step: 24200 | Ep: 1132 | Reward: -0.2222 | Mass: 2000.1
PINN Sim | Step: 24300 | Ep: 1136 | Reward: 3.0512 | Mass: 1999.7
PINN Sim | Step: 24400 | Ep: 1140 | Reward: -4.5660 | Mass: 1999.1
PINN Sim | Step: 24500 | Ep: 1144 | Reward: -5.5873 | Mass: 1989.5
PINN Sim | Step: 24600 | Ep: 1148 | Reward: -7.5683 | Mass: 1975.8
PINN Sim | Step: 24700 | Ep: 1152 | Reward: -5.4718 | Mass: 1997.4
PINN Sim | Step: 24800 | Ep: 1155 | Reward: -4.0482 | Mass: 1969.2
PINN Sim | Step: 24900 | Ep: 1159 | Reward: -1.1366 | Mass: 1998.2
PINN Sim | Step: 25000 | Ep: 1162 | Reward: -8.4533 | Mass: 1987.6
PINN Sim | Step: 25100 | Ep: 1165 | Reward: -4.9198 | Mass: 1949.8
PINN Sim | Step: 25200 | Ep: 1170 | Reward: -3.3745 | Mass: 1987.1
PINN Sim | Step: 25300 | Ep: 1173 | Reward: -5.3187 | Mass: 1959.5
PINN Sim | Step: 25400 | Ep: 1177 | Reward: 0.2090 | Mass: 1999.6
PINN Sim | Step: 25500 | Ep: 1180 | Reward: -7.2171 | Mass: 1940.7
PINN Sim | Step: 25600 | Ep: 1183 | Reward: -6.6424 | Mass: 1988.3
PINN Sim | Step: 25700 | Ep: 1187 | Reward: -1.4861 | Mass: 1995.6
PINN Sim | Step: 25800 | Ep: 1190 | Reward: -4.4656 | Mass: 1972.6
PINN Sim | Step: 25900 | Ep: 1194 | Reward: -5.8174 | Mass: 1970.2
PINN Sim | Step: 26000 | Ep: 1198 | Reward: -4.5673 | Mass: 1994.7
