Actor Node | Step: 35900 | Output Action: [0.20073643 0.8558095 ]
Actor Node | Step: 36000 | Output Action: [ 1.         -0.12494498]
Actor Node | Step: 36100 | Output Action: [0.32198167 0.88290334]
Actor Node | Step: 36200 | Output Action: [ 0.46682566 -0.0105879 ]
Actor Node | Step: 36300 | Output Action: [-0.6311474   0.18374139]
Actor Node | Step: 36400 | Output Action: [-0.8823786  1.       ]
Actor Node | Step: 36500 | Output Action: [-1.         0.3282055]
Actor Node | Step: 36600 | Output Action: [ 0.5127839 -0.516302 ]
Actor Node | Step: 36700 | Output Action: [-0.17361726  0.1581453 ]
Actor Node | Step: 36800 | Output Action: [-0.8099953   0.18805234]
Actor Node | Step: 36900 | Output Action: [-1.          0.16180603]
Actor Node | Step: 37000 | Output Action: [ 1.        -0.5085247]
Actor Node | Step: 37100 | Output Action: [ 1.         -0.06878284]
Actor Node | Step: 37200 | Output Action: [0.27144274 0.24726489]
Actor Node | Step: 37300 | Output Action: [0.40940198 0.00765109]
Actor Node | Step: 37400 | Output Action: [-0.04104554 -0.93816966]
Actor Node | Step: 37500 | Output Action: [0.80574125 0.7744013 ]
Actor Node | Step: 37600 | Output Action: [0.33328867 0.75708246]
Actor Node | Step: 37700 | Output Action: [0.6565461 1.       ]
Actor Node | Step: 37800 | Output Action: [0.3808425  0.50595415]
Actor Node | Step: 37900 | Output Action: [ 0.8995361 -0.8136129]
Actor Node | Step: 38000 | Output Action: [ 0.16181001 -0.505741  ]
Actor Node | Step: 38100 | Output Action: [-0.18508048  0.19380575]
Actor Node | Step: 38200 | Output Action: [-0.29892537  0.9897464 ]
Actor Node | Step: 38300 | Output Action: [-0.6901934  -0.23517112]
Actor Node | Step: 38400 | Output Action: [-0.5195449 -0.9684031]
Actor Node | Step: 38500 | Output Action: [-0.37015736  1.        ]
Actor Node | Step: 38600 | Output Action: [-0.87134147  0.6454995 ]
Actor Node | Step: 38700 | Output Action: [0.38831335 0.75723225]
Actor Node | Step: 38800 | Output Action: [-0.7638548   0.08490076]
Actor Node | Step: 38900 | Output Action: [-0.47218922 -0.31245613]
Actor Node | Step: 39000 | Output Action: [0.08653708 0.8263632 ]
Actor Node | Step: 39100 | Output Action: [-0.84425455  0.13034883]
Actor Node | Step: 39200 | Output Action: [-0.7329272   0.49556327]
Actor Node | Step: 39300 | Output Action: [-0.44195506 -0.0085487 ]
Actor Node | Step: 39400 | Output Action: [-0.9628149 -0.070209 ]
Actor Node | Step: 39500 | Output Action: [-0.63818085  0.10039334]
Actor Node | Step: 39600 | Output Action: [-1.         -0.03289303]
Actor Node | Step: 39700 | Output Action: [1.         0.20494573]
Actor Node | Step: 39800 | Output Action: [-0.4293073  -0.18256909]
Actor Node | Step: 39900 | Output Action: [0.53364253 0.7170824 ]
Actor Node | Step: 40000 | Output Action: [-0.04953105  1.        ]
Actor Node | Step: 40100 | Output Action: [-0.17674188  0.56401974]
Actor Node | Step: 40200 | Output Action: [-0.27498025  0.20596397]
Actor Node | Step: 40300 | Output Action: [-0.9246546   0.17873706]
Actor Node | Step: 40400 | Output Action: [-0.75972044 -0.2885105 ]
Actor Node | Step: 40500 | Output Action: [ 0.16970012 -0.01570264]
Actor Node | Step: 40600 | Output Action: [1.        0.3290775]
